"ACCESSION_NUMBER","SUBMISSION_TYPE","FILING_DATE","CIK","FILE_NUMBER","PERIOD","ISAMENDMENT","PROGRESSUPDATE","NATUREOFAMENDMENT","NAMEOFISSUER","LEGALSTATUSFORM","LEGALSTATUSOTHERDESC","JURISDICTIONORGANIZATION","DATEINCORPORATION","STREET1","STREET2","CITY","STATEORCOUNTRY","ZIPCODE","ISSUERWEBSITE","COMPANYNAME","COMMISSIONCIK","COMMISSIONFILENUMBER","CRDNUMBER"
"0001665160-17-000672","C",20171211,1716954,"020-23848",NA,0,"","","DIY TEE SHIRTS SCREEN PRINTING SUPPLY, INC","Corporation","","FL","2012-07-18","5942 Benjamin Rd","","Tampa","FL","33634","http://merchmakr.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000675","C",20171212,1705090,"020-23851",NA,0,"","","Buying Collective Holdings Incorporated","Corporation","","DE","2016-12-12","1450 South Blackhawk Boulevard","","Mt. Pleasant","UT","84647","www.greenpolkadotbox.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000676","C",20171212,1705090,"020-23852",NA,0,"","","Buying Collective Holdings Incorporated","Corporation","","DE","2016-12-12","1450 South Blackhawk Boulevard","","Mt. Pleasant","UT","84647","www.greenpolkadotbox.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000678","C",20171212,1721277,"020-23854",NA,0,"","","StayblGear LLC","Limited Liability Company","","WA","2014-06-18","10645 N Tatum Blvd #288","","Phoenix","AZ","85028","www.stayblcam.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000684","C",20171212,1724661,"020-23856",NA,0,"","","ARO Holdings LLC","Limited Liability Company","","TX","2016-06-14","906 E.5th St","#106","Austin","TX","78702","www.shop-aro.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000687","C",20171212,1717883,"020-23858",NA,0,"","","Small Batch Beauty, LLC","Limited Liability Company","","TN","2015-03-23","1604 Tynewood Drive","","Nashville","TN","37215","https://www.getbeast.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000695","C",20171219,1724646,"020-23867",NA,0,"","","Solar Direct LLC","Limited Liability Company","","FL","1985-11-26","6935 15th St E","120","Sarasota","FL","34243","www.SolarDirect.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000698","C",20171220,1725162,"020-23869",NA,0,"","","PerFIcT Inc.","Corporation","","DE","2017-11-09","1942 Overland Ave","Apt #3","Los Angeles","CA","90025","perfict.co","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000701","C",20171220,1716905,"020-23871",NA,0,"","","GlobaLiquids Inc. DBA eLYQD.com","Corporation","","IL","2017-03-27","437 Bloomfield Drive","","Bolingbrook","IL","60440","www.elyqd.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000704","C",20171220,1714685,"020-23873",NA,0,"","","Space Division Inc.","Corporation","","DE","2017-11-16","1313 W. 135th Street","","Gardena","CA","90247","https://www.spacedivisioninc.com","StartEngine Capital, LLC",1665160,"007-00007",NA
